Price,Area,Room,Lon,Lat
685000,64,3,4.907736,52.356157
475000,60,3,4.850476,52.348586
850000,109,4,4.944774,52.343782
580000,128,6,4.789928,52.343712
720000,138,5,4.902503,52.410538
450000,53,2,4.875024,52.382228
450000,87,3,4.896536,52.410585
590000,80,2,4.871555,52.371041
399000,49,3,4.854671,52.363471
3.00E+05,33,2,4.897142,52.353111
540000,69,3,4.851985,52.351244
539000,88,3,4.942972,52.377442
390000,45,3,4.908173,52.356446
575000,70,2,4.897782,52.366928
650000,86,3,4.909361,52.356532
475000,105,5,4.900926,52.408311
7.00E+05,102,6,4.85452,52.36209
325000,78,3,4.829644,52.372068
399000,100,3,4.949572,52.317294
375000,52,3,4.872555,52.392426
1625000,199,6,4.88583,52.374742
575000,71,3,4.891161,52.351082
6.00E+05,114,4,4.837666,52.362011
525000,75,3,4.945438,52.361355
350000,110,5,4.921574,52.408269
350000,89,3,4.88516,52.423543
575000,134,5,4.887858,52.332103
375000,51,3,4.862875,52.373735
1650000,235,7,4.820848,52.358631
325000,37,2,4.889539,52.351732
8.00E+05,98,3,4.900342,52.346366
1950000,258,4,4.887444,52.385346
735000,83,3,4.86109,52.344643
3925000,319,7,4.875471,52.361571
475000,74,3,4.865792,52.365372
275000,31,2,4.883566,52.330963
375000,47,2,4.899509,52.352717
570000,63,3,4.85856,52.359929
375000,43,2,4.921855,52.368922
895000,163,6,4.93704,52.373016
365000,49,3,4.854277,52.371899
550000,62,3,4.874257,52.369627
325000,91,4,4.987296,52.300656
429000,50,3,4.907585,52.363609
650000,120,4,4.924306,52.36344
350000,55,3,4.847389,52.373198
475000,79,3,4.942841,52.362693
325000,99,3,4.981149,52.314
425000,82,3,4.83186,52.364372
350000,77,4,4.948371,52.392858
350000,81,3,4.837764,52.363887
375000,93,4,4.815101,52.356914
450000,73,3,4.877698,52.388468
1185000,160,5,4.892374,52.363383
385000,74,3,4.91913,52.406915
687500,86,4,4.855875,52.352448
585000,52,4,4.891858,52.42145
1295000,145,5,4.89952,52.367261
375000,61,3,4.851777,52.379483
5.00E+05,86,4,4.944196,52.366168
3.00E+05,78,4,4.951093,52.393956
375000,52,4,4.86106,52.376873
4.00E+05,51,2,4.85633,52.36355
850000,117,5,4.889851,52.347518
550000,72,3,4.859628,52.359026
275000,56,2,4.959199,52.395846
330000,54,3,4.848563,52.381715
