FechaEncuesta,Educacion,Salario,Hobby,Pais,StackOverflowJobsRecommend,VersionControl,Edad,AniosExper,Genero,SalarioPlano
2/28/2018 20:20,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,South Africa,,Git,21,13,Male,
6/28/2018 13:26,Bachelor's degree (BA. BS. B.Eng.. etc.),70841,Yes,Sweeden,7,Git;Subversion,38,9,Male,"70,841.00"
6/6/2018 3:37,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,Sweeden,8,Git,45,11,,
5/9/2018 1:06,Some college/university study without earning a degree,21426,Yes,Sweeden,,Zip file back-ups,46,12,Male,"21,426.00"
4/12/2018 22:41,Bachelor's degree (BA. BS. B.Eng.. etc.),41671,Yes,UK,8,Git,39,7,Male,"£41,671.00"
2/9/2018 19:09,Some college/university study without earning a degree,120000,Yes,Russia,7,Git,39,2,Male,"120,000.00"
5/25/2018 6:11,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,UK,,Git,34,11,Male,
10/16/2018 23:36,Some college/university study without earning a degree,250000,Yes,France,7,Git,24,2,Female,"250,000.00"
10/7/2018 22:14,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,South Africa,10,Git,23,17,Male,
2/24/2018 21:36,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),0,No,France,,Copying and pasting files to network shares,36,2,,0
5/25/2018 22:10,Master's degree (MA. MS. M.Eng.. MBA. etc.),47904,Yes,Spain,6,Git,26,0,,"47,904.00"
8/3/2018 18:31,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,10,Git,42,0,,
10/20/2018 17:35,Bachelor's degree (BA. BS. B.Eng.. etc.),95968,Yes,India,6,Git,18,16,,"95,968.00"
7/23/2018 10:20,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,7,Git;Subversion,31,14,,
7/2/2018 18:25,Bachelor's degree (BA. BS. B.Eng.. etc.),420,No,Ireland,,Copying and pasting files to network shares,21,8,Male,420
10/9/2018 23:49,Some college/university study without earning a degree,75000,Yes,UK,5,Git,22,8,,"£75,000.00"
8/29/2018 1:49,Master's degree (MA. MS. M.Eng.. MBA. etc.),10958,Yes,UK,10,Git,41,10,,"£10,958.00"
8/21/2018 10:48,Master's degree (MA. MS. M.Eng.. MBA. etc.),51408,Yes,USA,9,Git;Subversion,55,1,Male,"$51,408.00 "
4/17/2018 21:23,Master's degree (MA. MS. M.Eng.. MBA. etc.),72611,Yes,USA,5,Git,31,10,Female,"$72,611.00 "
9/3/2018 19:11,Bachelor's degree (BA. BS. B.Eng.. etc.),900000,No,Spain,1,Team Foundation Version Control,39,10,,"900,000.00"
5/13/2018 15:33,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,South Africa,,Git,19,4,Male,
7/5/2018 11:39,Some college/university study without earning a degree,30000,No,USA,5,Git,28,7,Male,"$30,000.00 "
8/30/2018 10:01,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,USA,7,Git,50,14,Male,
7/22/2018 23:09,Bachelor's degree (BA. BS. B.Eng.. etc.),44000,Yes,Russia,10,Git;Zip file back-ups,18,8,Female;Male;Transgender;Non-binary. genderqueer. or gender non-conforming,"44,000.00"
4/17/2018 10:30,Bachelor's degree (BA. BS. B.Eng.. etc.),60000,No,USA,,Git,18,12,Female;Male,"$60,000.00 "
6/26/2018 9:09,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,USA,,Git,30,14,Male,
4/21/2018 4:38,Bachelor's degree (BA. BS. B.Eng.. etc.),80000,Yes,Russia,,Git;Mercurial;Subversion,67,12,Male,"80,000.00"
2/13/2018 9:04,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,South Africa,,Git,39,15,Male,
2/15/2018 13:24,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git,35,7,,
7/29/2018 13:46,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Russia,10,Git;Team Foundation Version Control,41,6,,
3/10/2018 14:43,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,USA,,Git,30,8,Male,
1/25/2018 22:31,Some college/university study without earning a degree,123984,Yes,Spain,,Git,43,7,Male,"123,984.00"
10/15/2018 14:09,Some college/university study without earning a degree,21228,No,Russia,,I don't use version control,38,16,Female,"21,228.00"
5/25/2018 12:56,Bachelor's degree (BA. BS. B.Eng.. etc.),74000,Yes,Sweeden,6,Git;Copying and pasting files to network shares,35,11,Female,"74,000.00"
3/20/2018 5:04,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Git,42,13,Male,
6/10/2018 21:11,Master's degree (MA. MS. M.Eng.. MBA. etc.),6576,Yes,France,,Git,52,4,Male,"6,576.00"
3/3/2018 4:50,Master's degree (MA. MS. M.Eng.. MBA. etc.),115000,Yes,USA,9,Git,60,12,Male,"$115,000.00 "
5/18/2018 21:19,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Spain,10,Git,71,6,Male,
3/30/2018 0:36,Associate degree,90000,Yes,UK,,Git,34,7,,"£90,000.00"
9/15/2018 18:34,Bachelor's degree (BA. BS. B.Eng.. etc.),115000,Yes,France,6,Git,22,7,Male,"115,000.00"
3/1/2018 0:29,Some college/university study without earning a degree,73428,No,USA,,Git,43,0,,"$73,428.00 "
10/3/2018 10:25,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,India,,Git;Subversion,18,4,Male,
4/9/2018 13:54,Bachelor's degree (BA. BS. B.Eng.. etc.),13212,Yes,Ukraine,5,Git,35,6,Female,"13,212.00"
6/1/2018 19:47,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Sweeden,,Git,30,15,Male,
1/14/2018 8:48,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Russia,,Git;Copying and pasting files to network shares,21,12,Male,
5/13/2018 13:35,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,UK,,Copying and pasting files to network shares,46,5,Male,
2/8/2018 7:22,Master's degree (MA. MS. M.Eng.. MBA. etc.),120000,Yes,South Africa,5,Git;Subversion;Zip file back-ups,21,4,Male,"120,000.00"
9/27/2018 13:41,Bachelor's degree (BA. BS. B.Eng.. etc.),48955,Yes,UK,8,Git;Subversion,31,8,Male,"£48,955.00"
2/18/2018 19:03,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Git;Copying and pasting files to network shares,52,1,Male,
2/24/2018 12:51,Bachelor's degree (BA. BS. B.Eng.. etc.),19500,Yes,UK,,Git;Team Foundation Version Control,29,17,Male;Non-binary. genderqueer. or gender non-conforming,"£19,500.00"
8/26/2018 4:07,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,USA,10,Git,22,14,,
1/15/2018 0:52,Master's degree (MA. MS. M.Eng.. MBA. etc.),85708,Yes,Spain,,Git,60,4,Male,"85,708.00"
7/6/2018 15:17,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,France,,Copying and pasting files to network shares;Zip file back-ups,28,12,,
2/3/2018 15:37,Bachelor's degree (BA. BS. B.Eng.. etc.),36000,Yes,UK,,Git;Subversion,47,7,Male,"£36,000.00"
9/14/2018 18:33,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git;Subversion;Zip file back-ups,28,10,,
7/24/2018 8:20,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,France,,Git,62,16,Male,
4/9/2018 17:04,Master's degree (MA. MS. M.Eng.. MBA. etc.),64116,No,Spain,10,Git;Subversion,18,7,,"64,116.00"
4/18/2018 10:01,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Russia,,Git,48,3,Male,
10/24/2018 1:55,Bachelor's degree (BA. BS. B.Eng.. etc.),45144,Yes,Ireland,5,Git;Subversion;Team Foundation Version Control;Copying and pasting files to network shares;Zip file back-ups,19,6,Male,"45,144.00"
2/19/2018 0:12,Bachelor's degree (BA. BS. B.Eng.. etc.),32412,Yes,France,7,Git,18,14,,"32,412.00"
1/23/2018 6:05,Master's degree (MA. MS. M.Eng.. MBA. etc.),52627,Yes,UK,1,Git,18,6,Male,"£52,627.00"
6/21/2018 16:18,Master's degree (MA. MS. M.Eng.. MBA. etc.),82648,Yes,Spain,10,Git;Team Foundation Version Control,18,22,Male,"82,648.00"
7/9/2018 17:43,Some college/university study without earning a degree,,Yes,USA,,Git;Team Foundation Version Control,18,11,Male,
2/24/2018 16:20,Bachelor's degree (BA. BS. B.Eng.. etc.),78000,Yes,India,,Git,44,9,Male,"78,000.00"
7/11/2018 16:18,Some college/university study without earning a degree,120000,Yes,India,,Git,19,13,Male,"120,000.00"
6/27/2018 19:40,Master's degree (MA. MS. M.Eng.. MBA. etc.),30000,No,USA,2,Git,32,5,Male,"$30,000.00 "
6/12/2018 23:47,Master's degree (MA. MS. M.Eng.. MBA. etc.),26436,Yes,USA,,Git,53,11,,"$26,436.00 "
2/22/2018 6:03,Master's degree (MA. MS. M.Eng.. MBA. etc.),34440,Yes,France,10,Git,36,2,,"34,440.00"
4/7/2018 13:38,Bachelor's degree (BA. BS. B.Eng.. etc.),4128,Yes,South Africa,,Git,27,10,,"4,128.00"
1/16/2018 13:45,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Russia,,Subversion,46,18,Male,
1/30/2018 11:37,Primary/elementary school,,Yes,Russia,,Zip file back-ups,49,10,Male,
3/17/2018 17:02,Bachelor's degree (BA. BS. B.Eng.. etc.),141625,Yes,South Africa,,Git,25,12,,"141,625.00"
5/23/2018 9:18,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,USA,,Copying and pasting files to network shares,44,4,Male,
8/11/2018 13:43,Master's degree (MA. MS. M.Eng.. MBA. etc.),71095,Yes,Ireland,,Git,30,0,Male,"71,095.00"
3/27/2018 7:41,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,South Africa,,Git,45,12,,
6/7/2018 3:23,Some college/university study without earning a degree,35244,No,Spain,,Git,44,5,,"35,244.00"
4/20/2018 16:09,Master's degree (MA. MS. M.Eng.. MBA. etc.),4696,No,South Africa,,Zip file back-ups,34,7,Male,"4,696.00"
9/29/2018 3:34,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git;Team Foundation Version Control,25,6,,
4/10/2018 18:58,Bachelor's degree (BA. BS. B.Eng.. etc.),120000,Yes,Russia,10,Git,52,3,Male,"120,000.00"
7/26/2018 14:02,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Russia,,Copying and pasting files to network shares;Zip file back-ups,22,2,Male,
